,title,rating,name,num_ratings,num_reviews,num_followers,synopsis,genre
58,Say Nothing: A True Story of Murder and Memory in Northern Ireland,4.44,Patrick Radden Keefe,"79,589","8,919","2,684","In December 1972, Jean McConville, a thirty-eight-year-old mother of ten, was dragged from her Belfast home by masked intruders, her children clinging to her legs. They never saw her again. Her abduction was one of the most notorious episodes of the vicious conflict known as The Troubles. Everyone in the neighborhood knew the I.R.A. was responsible. But in a climate of fear and paranoia, no one would speak of it. In 2003, five years after an accord brought an uneasy peace to Northern Ireland, a set of human bones was discovered on a beach. McConville's children knew it was their mother when they were told a blue safety pin was attached to the dress--with so many kids, she had always kept it handy for diapers or ripped clothes.

Patrick Radden Keefe's mesmerizing book on the bitter conflict in Northern Ireland and its aftermath uses the McConville case as a starting point for the tale of a society wracked by a violent guerrilla war, a war whose consequences have never been reckoned with. The brutal violence seared not only people like the McConville children, but also I.R.A. members embittered by a peace that fell far short of the goal of a united Ireland, and left them wondering whether the killings they committed were not justified acts of war, but simple murders.

Patrick Radden Keefe writes an intricate narrative about a notorious killing in Northern Ireland and its devastating repercussions.",history
59,Rubicon: The Last Years of the Roman Republic,4.2,Tom Holland,"17,740","1,055","1,694","In 49 B.C., the seven hundred fifth year since the founding of Rome, Julius Caesar crossed a small border river called the Rubicon and plunged Rome into cataclysmic civil war. Tom Holland’s enthralling account tells the story of Caesar’s generation, witness to the twilight of the Republic and its bloody transformation into an empire. From Cicero, Spartacus, and Brutus, to Cleopatra, Virgil, and Augustus, here are some of the most legendary figures in history brought thrillingly to life. Combining verve and freshness with scrupulous scholarship, Rubicon is not only an engrossing history of this pivotal era but a uniquely resonant portrait of a great civilization in all its extremes of self-sacrifice and rivalry, decadence and catastrophe, intrigue, war, and world-shaking ambition.",history
60,"Mayflower: A Story of Courage, Community, and War",3.85,Nathaniel Philbrick,"42,182","2,986","2,859","HOW DID AMERICA BEGIN?

This simple question launches acclaimed author Nathaniel Philbrick on an extraordinary journey to understand the truth behind our most sacred national myth: the voyage of the Mayflower and the settlement of Plymouth Colony. As Philbrick reveals in this electrifying new book, the story of the Pilgrims does not end with the First Thanksgiving; instead, it is a fifty-five-year epic that is at once tragic and heroic, and still carries meaning for us today.",history
61,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",4.21,S.C. Gwynne,"43,664","4,224",465,"In the tradition of Bury My Heart at Wounded Knee, a stunningly vivid historical account of the forty-year battle between Comanche Indians and white settlers for control of the American West, centering on Quanah, the greatest Comanche chief of them all.
S. C. Gwynne’s Empire of the Summer Moon spans two astonishing stories. The first traces the rise and fall of the Comanches, the most powerful Indian tribe in American history. The second entails one of the most remarkable narratives ever to come out of the Old West: the epic saga of the pioneer woman Cynthia Ann Parker and her mixed-blood son Quanah, who became the last and greatest chief of the Comanches.
Although readers may be more familiar with the tribal names Apache and Sioux, it was in fact the legendary fighting ability of the Comanches that determined just how and when the American West opened up. Comanche boys became adept bareback riders by age six; full Comanche braves were considered the best horsemen who ever rode. They were so masterful at war and so skillful with their arrows and lances that they stopped the northern drive of colonial Spain from Mexico and halted the French expansion westward from Louisiana. White settlers arriving in Texas from the eastern United States were surprised to find the frontier being rolled backward by Comanches incensed by the invasion of their tribal lands. So effective were the Comanches that they forced the creation of the Texas Rangers and account for the advent of the new weapon specifically designed to fight them: the six-gun.
The war with the Comanches lasted four decades, in effect holding up the development of the new American nation. Gwynne’s exhilarating account delivers a sweeping narrative that encompasses Spanish colonialism, the Civil War, the destruction of the buffalo herds, and the arrival of the railroads—a historical feast for anyone interested in how the United States came into being.
Against this backdrop Gwynne presents the compelling drama of Cynthia Ann Parker, a lovely nine-year-old girl with cornflower-blue eyes who was kidnapped by Comanches from the far Texas frontier in 1836. She grew to love her captors and became infamous as the ""White Squaw"" who refused to return until her tragic capture by Texas Rangers in 1860. More famous still was her son Quanah, a warrior who was never defeated and whose guerrilla wars in the Texas Panhandle made him a legend.
S. C. Gwynne’s account of these events is meticulously researched, intellectually provocative, and, above all, thrillingly told.",history
62,Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,4.37,Adam Higginbotham,"40,854","4,680",380,"The definitive, dramatic untold story of the Chernobyl nuclear power plant disaster, based on original reporting and new archival research.

April 25, 1986, in Chernobyl, was a turning point in world history. The disaster not only changed the world’s perception of nuclear power and the science that spawned it, but also our understanding of the planet’s delicate ecology. With the images of the abandoned homes and playgrounds beyond the barbed wire of the 30-kilometer Exclusion Zone, the rusting graveyards of contaminated trucks and helicopters, the farmland lashed with black rain, the event fixed for all time the notion of radiation as an invisible killer.

Chernobyl was also a key event in the destruction of the Soviet Union, and, with it, the United States’ victory in the Cold War. For Moscow, it was a political and financial catastrophe as much as an environmental and scientific one. With a total cost of 18 billion rubles—at the time equivalent to $18 billion—Chernobyl bankrupted an already teetering economy and revealed to its population a state built upon a pillar of lies.

The full story of the events that started that night in the control room of Reactor No.4 of the V.I. Lenin Nuclear Power Plant has never been told—until now. Through two decades of reporting, new archival information, and firsthand interviews with witnesses, journalist Adam Higginbotham tells the full dramatic story, including Alexander Akimov and Anatoli Dyatlov, who represented the best and worst of Soviet life; denizens of a vanished world of secret policemen, internal passports, food lines, and heroic self-sacrifice for the Motherland. Midnight in Chernobyl, award-worthy nonfiction that reads like sci-fi, shows not only the final epic struggle of a dying empire but also the story of individual heroism and desperate, ingenious technical improvisation joining forces against a new kind of enemy.",history
63,Cleopatra: A Life,3.71,Stacy Schiff,"1,12,099","5,530","1,513","The Pulitzer Prize-winning biographer brings to life the most intriguing woman in the history of the world: Cleopatra, the last queen of Egypt.

Her palace shimmered with onyx, garnets, and gold, but was richer still in political and sexual intrigue. Above all else, Cleopatra was a shrewd strategist and an ingenious negotiator.

Though her life spanned fewer than forty years, it reshaped the contours of the ancient world. She was married twice, each time to a brother. She waged a brutal civil war against the first when both were teenagers. She poisoned the second. Ultimately she dispensed with an ambitious sister as well; incest and assassination were family specialties. Cleopatra appears to have had sex with only two men. They happen, however, to have been Julius Caesar and Mark Antony, among the most prominent Romans of the day. Both were married to other women. Cleopatra had a child with Caesar and–after his murder–three more with his protégé. Already she was the wealthiest ruler in the Mediterranean; the relationship with Antony confirmed her status as the most influential woman of the age. The two would together attempt to forge a new empire, in an alliance that spelled their ends. Cleopatra has lodged herself in our imaginations ever since.

Famous long before she was notorious, Cleopatra has gone down in history for all the wrong reasons. Shakespeare and Shaw put words in her mouth. Michelangelo, Tiepolo, and Elizabeth Taylor put a face to her name. Along the way, Cleopatra’s supple personality and the drama of her circumstances have been lost. In a masterly return to the classical sources, Stacy Schiff here boldly separates fact from fiction to rescue the magnetic queen whose death ushered in a new world order. Rich in detail, epic in scope, Schiff ‘s is a luminous, deeply original reconstruction of a dazzling life.",history
64,The Gulag Archipelago 1918–1956,4.31,Aleksandr Solzhenitsyn,"25,993","1,898","3,218","Drawing on his own incarceration and exile, as well as on evidence from more than 200 fellow prisoners and Soviet archives, Aleksandr I. Solzhenitsyn reveals the entire apparatus of Soviet repression—the state within the state that ruled all-powerfully. Through truly Shakespearean portraits of its victims—men, women, and children—we encounter secret police operations, labor camps and prisons; the uprooting or extermination of whole populations, the welcome that awaited Russian soldiers who had been German prisoners of war. Yet we also witness the astounding moral courage of the incorruptible, who, defenseless, endured great brutality and degradation. The Gulag Archipelago 1918–1956—a grisly indictment of a regime, fashioned here into a veritable literary miracle—has now been updated with a new introduction that includes the fall of the Soviet Union and Solzhenitsyn's move back to Russia.",history
65,Narrative of the Life of Frederick Douglass,4.08,Frederick Douglass,"1,11,954","5,697","1,081","Born a slave circa1818 (slaves weren't told when they were born) on a plantation in Maryland, Douglass taught himself to read and write. In 1845, seven years after escaping to the North, he published Narrative, the first of three autobiographies. This book calmly but dramatically recounts the horrors and the accomplishments of his early years—the daily, casual brutality of the white masters; his painful efforts to educate himself; his decision to find freedom or die; and his harrowing but successful escape.

An astonishing orator and a skillful writer, Douglass became a newspaper editor, a political activist, and an eloquent spokesperson for the civil rights of African Americans. He lived through the Civil War, the end of slavery, and the beginning of segregation. He was celebrated internationally as the leading black intellectual of his day, and his story still resonates in ours.
More book description",history
66,"Stalingrad: The Fateful Siege, 1942–1943",4.31,Antony Beevor,"33,517","1,218","1,917","The Battle of Stalingrad was not only the psychological turning point of World War II: it also changed the face of modern warfare. Historians and reviewers worldwide have hailed Antony Beevor's magisterial Stalingrad as the definitive account of World War II's most harrowing battle.

In August 1942, Hitler's huge Sixth Army reached the city that bore Stalin's name. In the five-month siege that followed, the Russians fought to hold Stalingrad at any cost; then, in an astonishing reversal, encircled and trapped their Nazi enemy. This battle for the ruins of a city cost more than a million lives. Stalingrad conveys the experience of soldiers on both sides, fighting in inhuman conditions, and of civilians trapped on an urban battlefield. Antony Beevor has interviewed survivors and discovered completely new material in a wide range of German and Soviet archives, including prisoner interrogations and reports of desertions and executions. As a story of cruelty, courage, and human suffering, Stalingrad is unprecedented and unforgettable.",history
67,The Prince,3.83,Niccolò Machiavelli,"3,01,508","10,553","3,566","Machiavelli needs to be looked at as he really was. Hence: Can Machiavelli, who makes the following observations, be Machiavellian as we understand the disparaging term? 1. So it is that to know the nature of a people, one need be a Prince; to know the nature of a Prince, one need to be of the people. 2. If a Prince is not given to vices that make him hated, it is unsusal for his subjects to show their affection for him. 3. Opportunity made Moses, Cyrus, Romulus, Theseus, and others; their virtue domi-nated the opportunity, making their homelands noble and happy. Armed prophets win; the disarmed lose. 4. Without faith and religion, man achieves power but not glory. 5. Prominent citizens want to command and oppress; the populace only wants to be free of oppression. 6. A Prince needs a friendly populace; otherwise in diversity there is no hope. 7. A Prince, who rules as a man of valor, avoids disasters, 8. Nations based on mercenary forces will never be solid or secure. 9. Mercenaries are dangerous because of their cowardice 10. There are two ways to fight: one with laws, the other with force. The first is rightly man’s way; the second, the way of beasts.
More book description",history
68,Stamped from the Beginning: The Definitive History of Racist Ideas in America,4.54,Ibram X. Kendi,"32,421","4,686","6,369","In this deeply researched and fast-moving narrative, Kendi chronicles the entire story of anti–Black racist ideas and their staggering power over the course of American history. Stamped from the Beginning uses the lives of five major American intellectuals to offer a window into the contentious debates between assimilationists and segregationists and between racists and anti-racists. From Puritan minister Cotton Mather to Thomas Jefferson, from fiery abolitionist William Lloyd Garrison to brilliant scholar W. E. B. Du Bois to legendary anti–prison activist Angela Davis, Kendi shows how and why some of our leading pro-slavery and pro–civil rights thinkers have challenged or helped cement racist ideas in America.

As Kendi illustrates, racist thinking did not arise from ignorance or hatred. Racist ideas were created and popularized in an effort to defend deeply entrenched discriminatory policies and to rationalize the nation’s racial inequities in everything from wealth to health. While racist ideas are easily produced and easily consumed, they can also be discredited. In shedding much–needed light on the murky history of racist ideas, Stamped from the Beginning offers tools to expose them—and in the process, reason to hope.",history
69,The Wright Brothers,4.14,David McCullough,"86,345","6,640","9,137","Librarian's note: An alternate cover edition can be found here

Two-time winner of the Pulitzer Prize David McCullough tells the dramatic story-behind-the-story about the courageous brothers who taught the world how to fly: Wilbur and Orville Wright.

On a winter day in 1903, in the Outer Banks of North Carolina, two unknown brothers from Ohio changed history. But it would take the world some time to believe what had happened: the age of flight had begun, with the first heavier-than-air, powered machine carrying a pilot.

Who were these men and how was it that they achieved what they did?

David McCullough, two-time winner of the Pulitzer Prize, tells the surprising, profoundly American story of Wilbur and Orville Wright.

Far more than a couple of unschooled Dayton bicycle mechanics who happened to hit on success, they were men of exceptional courage and determination, and of far-ranging intellectual interests and ceaseless curiosity, much of which they attributed to their upbringing. The house they lived in had no electricity or indoor plumbing, but there were books aplenty, supplied mainly by their preacher father, and they never stopped reading.

When they worked together, no problem seemed to be insurmountable. Wilbur was unquestionably a genius. Orville had such mechanical ingenuity as few had ever seen. That they had no more than a public high school education, little money and no contacts in high places, never stopped them in their mission to take to the air. Nothing did, not even the self-evident reality that every time they took off in one of their contrivances, they risked being killed.

In this thrilling book, master historian David McCullough draws on the immense riches of the Wright Papers, including private diaries, notebooks, scrapbooks, and more than a thousand letters from private family correspondence to tell the human side of the Wright Brothers' story, including the little-known contributions of their sister, Katharine, without whom things might well have gone differently for them.",history
70,The Six Wives of Henry VIII,4.1,Alison Weir,"67,575","1,782","6,743","The tempestuous, bloody, and splendid reign of Henry VIII of England (1509-1547) is one of the most fascinating in all history, not least for his marriage to six extraordinary women. In this accessible work of brilliant scholarship, Alison Weir draws on early biographies, letters, memoirs, account books, and diplomatic reports to bring these women to life. Catherine of Aragon emerges as a staunch though misguided woman of principle; Anne Boleyn, an ambitious adventuress with a penchant for vengeance; Jane Seymour, a strong-minded matriarch in the making; Anne of Cleves, a good-natured and innocent woman naively unaware of the court intrigues that determined her fate; Catherine Howard, an empty-headed wanton; and Catherine Parr, a warm-blooded bluestocking who survived King Henry to marry a fourth time.",history
71,On Tyranny: Twenty Lessons from the Twentieth Century,4.19,Timothy Snyder,"55,726","7,172","2,955","A historian of fascism offers a guide for surviving and resisting America’s turn towards authoritarianism.

On November 9th, millions of Americans woke up to the impossible: the election of Donald Trump as president. Against all predictions, one of the most-disliked presidential candidates in history had swept the electoral college, elevating a man with open contempt for democratic norms and institutions to the height of power.

Timothy Snyder is one of the most celebrated historians of the Holocaust. In his books Bloodlands and Black Earth, he has carefully dissected the events and values that enabled the rise of Hitler and Stalin and the execution of their catastrophic policies. With Twenty Lessons, Snyder draws from the darkest hours of the twentieth century to provide hope for the twenty-first. As he writes, “Americans are no wiser than the Europeans who saw democracy yield to fascism, Nazism and communism. Our one advantage is that we might learn from their experience.”

Twenty Lessons is a call to arms and a guide to resistance, with invaluable ideas for how we can preserve our freedoms in the uncertain years to come.",history
72,The Autobiography of Malcolm X,4.34,Malcolm X,"2,45,960","8,044","2,447","Alternate cover for ISBN 9780345350688

Through a life of passion and struggle, Malcolm X became one of the most influential figures of the 20th Century. In this riveting account, he tells of his journey from a prison cell to Mecca, describing his transition from hoodlum to Muslim minister. Here, the man who called himself ""the angriest Black man in America"" relates how his conversion to true Islam helped him confront his rage and recognize the brotherhood of all mankind.

An established classic of modern America, ""The Autobiography of Malcolm X"" was hailed by the New York Times as ""Extraordinary. A brilliant, painful, important book."" Still extraordinary, still important, this electrifying story has transformed Malcom X's life into his legacy. The strength of his words, the power of his ideas continue to resonate more than a generation after they first appeared.",history
73,The Swerve: How the World Became Modern,3.86,Stephen Greenblatt,"30,876","3,052",732,"One of the world's most celebrated scholars, Stephen Greenblatt has crafted both an innovative work of history and a thrilling story of discovery, in which one manuscript, plucked from a thousand years of neglect, changed the course of human thought and made possible the world as we know it.

Nearly six hundred years ago, a short, genial, cannily alert man in his late thirties took a very old manuscript off a library shelf, saw with excitement what he had discovered, and ordered that it be copied. That book was the last surviving manuscript of an ancient Roman philosophical epic, On the Nature of Things, by Lucretius—a beautiful poem of the most dangerous ideas: that the universe functioned without the aid of gods, that religious fear was damaging to human life, and that matter was made up of very small particles in eternal motion, colliding and swerving in new directions.

The copying and translation of this ancient book—the greatest discovery of the greatest book-hunter of his age—fueled the Renaissance, inspiring artists such as Botticelli and thinkers such as Giordano Bruno; shaped the thought of Galileo and Freud, Darwin and Einstein; and had a revolutionary influence on writers such as Montaigne and Shakespeare and even Thomas Jefferson.",history
74,The Plantagenets: The Warrior Kings and Queens Who Made England,4.21,Dan Jones,"16,180","1,563","2,918","The first Plantagenet king inherited a blood-soaked kingdom from the Normans and transformed it into an empire stretched at its peak from Scotland to Jerusalem. In this epic history, Dan Jones vividly resurrects this fierce and seductive royal dynasty and its mythic world.

We meet the captivating Eleanor of Aquitaine, twice queen and the most famous woman in Christendom; her son, Richard the Lionheart, who fought Saladin in the Third Crusade; and King John, a tyrant who was forced to sign Magna Carta, which formed the basis of our own Bill of Rights.

This is the era of chivalry, of Robin Hood and the Knights Templar, the Black Death, the founding of Parliament, the Black Prince, and the Hundred Year’s War. It will appeal as much to readers of Tudor history as to fans of 'Game of Thrones.",history
75,Postwar: A History of Europe Since 1945,4.37,Tony Judt,"11,076",866,515,"Almost a decade in the making, this much-anticipated grand history of postwar Europe from one of the world's most esteemed historians and intellectuals is a singular achievement. Postwar is the first modern history that covers all of Europe, both east and west, drawing on research in six languages to sweep readers through thirty-four nations and sixty years of political and cultural change-all in one integrated, enthralling narrative. Both intellectually ambitious and compelling to read, thrilling in its scope and delightful in its small details, Postwar is a rare joy.

Finalist for the Pulitzer Prize
Winner of the Council on Foreign Relations Arthur Ross Book Award
One of the New York Times' Ten Best Books of the Year.

Table of contents

About the author
Copyright page
Dedication
Preface & acknowledgement
Introduction

PART ONE - Post-War: 1945-1953
1. The legacy of war
2. Retribution
3. The rehabilitation of Europe
4. The impossible settlement
5. The coming of the Cold War
6. Into the whirlwind
7. Culture wars
CODA The end of old Europe

PART TWO - Prosperity and its discontents: 1953-1971
8. The politics of stability
9. Lost illusions
10. The age of affluence
POSTSCRIPT: A Tale of two economies
11. The Social Democrat moment
12. The spectre of revolution
13. The end of the affair

PART THREE - Recessional: 1971-1989
14. Diminished expectations
15. Politics in a new key
16. A time of transition
17. The new realism
18. The power of the powerless
19. The end of the old order

PART FOUR - After the Fall: 1989-2005
20. A fissile continent
21. The reckoning
22. The old Europe -and the new
23. The varieties of Europe
24. Europe as a way of life

Photo crdits
Suggestions for further readings",history
76,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,3.86,David Grann,"83,825","6,646","2,066","A grand mystery reaching back centuries. A sensational disappearance that made headlines around the world. A quest for truth that leads to death, madness or disappearance for those who seek to solve it. The Lost City of Z is a blockbuster adventure narrative about what lies beneath the impenetrable jungle canopy of the Amazon.

After stumbling upon a hidden trove of diaries, New Yorker writer David Grann set out to solve ""the greatest exploration mystery of the 20th century"": What happened to the British explorer Percy Fawcett & his quest for the Lost City of Z?

In 1925, Fawcett ventured into the Amazon to find an ancient civilization, hoping to make one of the most important discoveries in history. For centuries Europeans believed the world's largest jungle concealed the glittering kingdom of El Dorado. Thousands had died looking for it, leaving many scientists convinced that the Amazon was truly inimical to humans. But Fawcett, whose daring expeditions inspired Conan Doyle's The Lost World, had spent years building his scientific case. Captivating the imagination of millions round the globe, Fawcett embarked with his 21-year-old son, determined to prove that this ancient civilisation--which he dubbed Z--existed. Then his expedition vanished. Fawcett's fate, & the tantalizing clues he left behind about Z, became an obsession for hundreds who followed him into the uncharted wilderness.

For decades scientists & adventurers have searched for evidence of Fawcett's party & the lost City of Z. Countless have perished, been captured by tribes or gone mad. As Grann delved ever deeper into the mystery surrounding Fawcett's quest, & the greater mystery of what lies within the Amazon, he found himself, like the generations who preceded him, being irresistibly drawn into the jungle's green hell. His quest for the truth & discoveries about Fawcett's fate & Z form the heart of this complexly enthralling narrative.",history
77,1493: Uncovering the New World Columbus Created,4.11,Charles C. Mann,"17,866","1,538",902,"From the author of 1491—the best-selling study of the pre-Columbian Americas—a deeply engaging new history of the most momentous biological event since the death of the dinosaurs.

More than 200 million years ago, geological forces split apart the continents. Isolated from each other, the two halves of the world developed radically different suites of plants and animals. When Christopher Columbus set foot in the Americas, he ended that separation at a stroke. Driven by the economic goal of establishing trade with China, he accidentally set off an ecological convulsion as European vessels carried thousands of species to new homes across the oceans.

The Columbian Exchange, as researchers call it, is the reason there are tomatoes in Italy, oranges in Florida, chocolates in Switzerland, and chili peppers in Thailand. More important, creatures the colonists knew nothing about hitched along for the ride. Earthworms, mosquitoes, and cockroaches; honeybees, dandelions, and African grasses; bacteria, fungi, and viruses; rats of every description—all of them rushed like eager tourists into lands that had never seen their like before, changing lives and landscapes across the planet.

Eight decades after Columbus, a Spaniard named Legazpi succeeded where Columbus had failed. He sailed west to establish continual trade with China, then the richest, most powerful country in the world. In Manila, a city Legazpi founded, silver from the Americas, mined by African and Indian slaves, was sold to Asians in return for silk for Europeans. It was the first time that goods and people from every corner of the globe were connected in a single worldwide exchange. Much as Columbus created a new world biologically, Legazpi and the Spanish empire he served created a new world economically.

As Charles C. Mann shows, the Columbian Exchange underlies much of subsequent human history. Presenting the latest research by ecologists, anthropologists, archaeologists, and historians, Mann shows how the creation of this worldwide network of ecological and economic exchange fostered the rise of Europe, devastated imperial China, convulsed Africa, and for two centuries made Mexico City—where Asia, Europe, and the new frontier of the Americas dynamically interacted—the center of the world. In such encounters, he uncovers the germ of today’s fiercest political disputes, from immigration to trade policy to culture wars.

In 1493, Charles Mann gives us an eye-opening scientific interpretation of our past, unequaled in its authority and fascination",history
78,Maus I: A Survivor's Tale: My Father Bleeds History,4.36,Art Spiegelman,"2,94,735","8,163","2,432","The first installment of the Pulitzer Prize-winning graphic novel acclaimed as “the most affecting and successful narrative ever done about the Holocaust” (Wall Street Journal) and “the first masterpiece in comic book history” (The New Yorker).

A brutally moving work of art—widely hailed as the greatest graphic novel ever written—Maus recounts the chilling experiences of the author’s father during the Holocaust, with Jews drawn as wide-eyed mice and Nazis as menacing cats.

Maus is a haunting tale within a tale, weaving the author’s account of his tortured relationship with his aging father into an astonishing retelling of one of history's most unspeakable tragedies. It is an unforgettable story of survival and a disarming look at the legacy of trauma.",history
79,Washington: A Life,4.12,Ron Chernow,"66,618","2,801","4,709","The celebrated Ron Chernow provides a richly nuanced portrait of the father of America. With a breadth and depth matched by no other one-volume life, he carries the reader through Washington's troubled boyhood, his precocious feats in the French and Indian Wars, his creation of Mount Vernon, his heroic exploits with the Continental Army, his presiding over the Constitutional Convention and his magnificent performance as America's first president.

Despite the reverence his name inspires Washington remains a waxwork to many readers, worthy but dull, a laconic man of remarkable self-control. But in this groundbreaking work Chernow revises forever the uninspiring stereotype. He portrays Washington as a strapping, celebrated horseman, elegant dancer and tireless hunter, who guarded his emotional life with intriguing ferocity. Not only did Washington gather around himself the foremost figures of the age, including James Madison, Alexander Hamilton, John Adams, and Thomas Jefferson, he orchestrated their actions to help realise his vision for the new federal government, define the separation of powers, and establish the office of the presidency.

Ron Chernow takes us on a page-turning journey through all the formative events of America's founding. This is a magisterial work from one of America's foremost writers and historians.",history
80,Zealot: The Life and Times of Jesus of Nazareth,3.84,Reza Aslan,"67,141","5,929","2,171","From the internationally bestselling author of No god but God comes a fascinating, provocative, and meticulously researched biography that challenges long-held assumptions about the man we know as Jesus of Nazareth.

Two thousand years ago, an itinerant Jewish preacher and miracle worker walked across the Galilee, gathering followers to establish what he called the “Kingdom of God.” The revolutionary movement he launched was so threatening to the established order that he was captured, tortured, and executed as a state criminal.

Within decades after his shameful death, his followers would call him God.

Sifting through centuries of mythmaking, Reza Aslan sheds new light on one of history’s most influential and enigmatic characters by examining Jesus through the lens of the tumultuous era in which he lived: first-century Palestine, an age awash in apocalyptic fervor. Scores of Jewish prophets, preachers, and would-be messiahs wandered through the Holy Land, bearing messages from God. This was the age of zealotry—a fervent nationalism that made resistance to the Roman occupation a sacred duty incumbent on all Jews. And few figures better exemplified this principle than the charismatic Galilean who defied both the imperial authorities and their allies in the Jewish religious hierarchy.

Balancing the Jesus of the Gospels against the historical sources, Aslan describes a man full of conviction and passion, yet rife with contradiction; a man of peace who exhorted his followers to arm themselves with swords; an exorcist and faith healer who urged his disciples to keep his identity a secret; and ultimately the seditious “King of the Jews” whose promise of liberation from Rome went unfulfilled in his brief lifetime. Aslan explores the reasons why the early Christian church preferred to promulgate an image of Jesus as a peaceful spiritual teacher rather than a politically conscious revolutionary. And he grapples with the riddle of how Jesus understood himself, the mystery that is at the heart of all subsequent claims about his divinity.

Zealot yields a fresh perspective on one of the greatest stories ever told even as it affirms the radical and transformative nature of Jesus of Nazareth’s life and mission. The result is a thought-provoking, elegantly written biography with the pulse of a fast-paced novel: a singularly brilliant portrait of a man, a time, and the birth of a religion.",history
81,"One Summer: America, 1927",4.08,Bill Bryson,"49,195","5,306",18.3k,"In One Summer Bill Bryson, one of our greatest and most beloved nonfiction writers, transports readers on a journey back to one amazing season in American life.

The summer of 1927 began with one of the signature events of the twentieth century: on May 21, 1927, Charles Lindbergh became the first man to cross the Atlantic by plane nonstop, and when he landed in Le Bourget airfield near Paris, he ignited an explosion of worldwide rapture and instantly became the most famous person on the planet. Meanwhile, the titanically talented Babe Ruth was beginning his assault on the home run record, which would culminate on September 30 with his sixtieth blast, one of the most resonant and durable records in sports history. In between those dates a Queens housewife named Ruth Snyder and her corset-salesman lover garroted her husband, leading to a murder trial that became a huge tabloid sensation. Alvin “Shipwreck” Kelly sat atop a flagpole in Newark, New Jersey, for twelve days—a new record. The American South was clobbered by unprecedented rain and by flooding of the Mississippi basin, a great human disaster, the relief efforts for which were guided by the uncannily able and insufferably pompous Herbert Hoover. Calvin Coolidge interrupted an already leisurely presidency for an even more relaxing three-month vacation in the Black Hills of South Dakota. The gangster Al Capone tightened his grip on the illegal booze business through a gaudy and murderous reign of terror and municipal corruption. The first true “talking picture,” Al Jolson’s The Jazz Singer, was filmed and forever changed the motion picture industry. The four most powerful central bankers on earth met in secret session on a Long Island estate and made a fateful decision that virtually guaranteed a future crash and depression.
     All this and much, much more transpired in that epochal summer of 1927, and Bill Bryson captures its outsized personalities, exciting events, and occasional just plain weirdness with his trademark vividness, eye for telling detail, and delicious humor. In that year America stepped out onto the world stage as the main event, and One Summer transforms it all into narrative nonfiction of the highest order.",history
82,White Trash: The 400-Year Untold History of Class in America,3.75,Nancy Isenberg,"21,398","3,281",342,"In her groundbreaking history of the class system in America, extending from colonial times to the present, Nancy Isenberg takes on our comforting myths about equality, uncovering the crucial legacy of the ever-present, always embarrassing––if occasionally entertaining––""poor white trash.""

The wretched and landless poor have existed from the time of the earliest British colonial settlement. They were alternately known as “waste people,” “offals,” “rubbish,” “lazy lubbers,” and “crackers.” By the 1850s, the downtrodden included so-called “clay eaters” and “sandhillers,” known for prematurely aged children distinguished by their yellowish skin, ragged clothing, and listless minds.

Surveying political rhetoric and policy, popular literature and scientific theories over four hundred years, Isenberg upends assumptions about America’s supposedly class-free society––where liberty and hard work were meant to ensure real social mobility. Poor whites were central to the rise of the Republican Party in the early nineteenth century, and the Civil War itself was fought over class issues nearly as much as it was fought over slavery.

Reconstruction pitted ""poor white trash"" against newly freed slaves, which factored in the rise of eugenics–-a widely popular movement embraced by Theodore Roosevelt that targeted poor whites for sterilization. These poor were at the heart of New Deal reforms and LBJ’s Great Society; they haunt us in reality TV shows like Here Comes Honey Boo Boo and Duck Dynasty. Marginalized as a class, ""white trash"" have always been at or near the center of major political debates over the character of the American identity.

We acknowledge racial injustice as an ugly stain on our nation’s history. With Isenberg’s landmark book, we will have to face the truth about the enduring, malevolent nature of class as well.",history
83,A Little History of the World,4.12,E.H. Gombrich,"23,884","2,275",940,"In 1935, with a doctorate in art history and no prospect of a job, the 26-year-old Ernst Gombrich was invited by a publishing acquaintance to attempt a history of the world for younger readers. Amazingly, he completed the task in an intense six weeks, and Eine kurze Weltgeschichte für junge Leser was published in Vienna to immediate success, and is now available in seventeen languages across the world. Toward the end of his long life, Gombrich embarked upon a revision and, at last, an English translation. A Little History of the World presents his lively and involving history to English-language readers for the first time. Superbly designed and freshly illustrated, this is a book to be savored and collected. In forty concise chapters, Gombrich tells the story of man from the stone age to the atomic bomb. In between emerges a colorful picture of wars and conquests, grand works of art, and the spread and limitations of science. This is a text dominated not by dates and facts, but by the sweep of mankind's experience across the centuries, a guide to humanity's achievements and an acute witness to its frailties. The product of a generous and humane sensibility, this timeless account makes intelligible the full span of human history.
More book description",history
